id,identifier,sid,mcat,scat,etc,english,kanji,japanese,keyword1,keyword2,keyword3,cost,description,ready,rare
65,shinko maki,SM004,Sushi,Makimono,,pickle daikon roll,しんこ巻き,しんこ巻き,,,,,coming soon…,OK,no
66,kanpyo maki,SM005,Sushi,Makimono,,pickled gourd roll,かんぴょう巻き,かんぴょう巻き,,,,,coming soon…,OK,no
67,shibaduke maki,SM006,Sushi,Makimono,,pickled cucumber,柴漬巻き,柴漬巻き,,,,,coming soon…,OK,no
68,yamagobou maki,SM007,Sushi,Makimono,,burdock root,山牛蒡,山牛蒡,,,,,coming soon…,OK,no
69,ume jiso maki,SM008,Sushi,Makimono,,plum and perilla-leaf roll,梅じそ巻,梅じそ巻,,,,,coming soon…,OK,no
70,ana kyu maki,SM009,Sushi,Makimono,,conger eel and cucumber roll,あなきゅう巻,あなきゅう巻,,,,,coming soon…,OK,RARE
71,ebi fry maki,SM010,Sushi,Makimono,,fried shrimp,海老フライ,海老フライ,,,,,coming soon…,OK,RARE
72,futomaki maki,SM011,Sushi,Makimono,,large roll,太巻き,太巻き,,,,,Multiple ingredients.,OK,no
73,tekka temaki,ST001,Sushi,Temaki,,tuna hand roll,鉄火手巻き,鉄火手巻き,,,,,coming soon…,OK,
74,kappa temaki,ST002,Sushi,Temaki,,cucumber hand roll,かっぱ手巻き,かっぱ手巻き,,,,,coming soon…,OK,
75,natto temaki,ST003,Sushi,Temaki,,fermented-soybean hand roll,納豆手巻き,納豆手巻き,,,,,coming soon…,OK,
76,oshinko temaki,ST004,Sushi,Temaki,,pickle daikon hand roll,お新香手巻き,お新香手巻き,,,,,coming soon…,OK,
77,kanpyo temaki,ST005,Sushi,Temaki,,pickled gourd hand roll,かんぴょう手巻き,かんぴょう手巻き,,,,,coming soon…,OK,
78,shibaduke temaki,ST006,Sushi,Temaki,,pickled cucumber hand roll,柴漬手巻き,柴漬手巻き,,,,,coming soon…,OK,
79,yamagobou temaki,ST007,Sushi,Temaki,,burdock root hand roll,山牛手巻き,山牛手巻き,,,,,coming soon…,OK,
80,ume jiso temaki,ST008,Sushi,Temaki,,plum and perilla-leaf hand roll,梅じそ手巻き,梅じそ手巻き,,,,,coming soon…,OK,
81,ana kyu temaki,ST009,Sushi,Temaki,,conger eel and cucumber hand roll,あなきゅう手巻き,あなきゅう手巻き,,,,,coming soon…,OK,
82,ebi fry tmaki,ST010,Sushi,Temaki,,fried shrimp,海老フライ手巻き,海老フライ手巻き,,,,,coming soon…,OK,RARE
83,tamago temaki,ST011,Sushi,Temaki,,egg roll,玉子手巻き,玉子手巻き,,,,,coming soon…,OK,
84,ikura temaki,ST012,Sushi,Temaki,,salmon roe hand roll,イクラ手巻き,イクラ手巻き,,,,,coming soon…,OK,
85,inari,SO001,Sushi,Oshi,,fried tofu pouch,稲荷寿司,稲荷寿司,nigiri,,,,coming soon…,OK,no
86,battera,SO002,Sushi,Oshi,,pressed mackerel ,バッテラ,バッテラ,pressed,,,,coming soon…,OK,no
87,saba bouzushi,SO003,Sushi,Oshi,,pushed mackerel,サバ棒寿し,サバ棒寿し,,,,,coming soon…,OK,
88,kani mayo roll,SS001,Sushi,Special Roll,,crab mayonnaise,太巻き,太巻き,,,,,coming soon…,,RARE
89,calfornia roll,SS002,Sushi,Special Roll,,calfornia roll,カリフォルニアロール,カリフォルニアロール,,,,,coming soon…,,RARE
90,spicy tuna roll,SS003,Sushi,Special Roll,,spicy tuna roll,スパイシーツナロール,スパイシーツナロール,,,,,coming soon…,,no
91,spicy salmon roll,SS004,Sushi,Special Roll,,spicy salmon roll,スパイシーサーモンロール,スパイシーサーモンロール,,,,,coming soon…,,no
92,new york roll,SS005,Sushi,Special Roll,,new york roll,ニューヨークロール,ニューヨークロール,,,,,coming soon…,,no
93,philadelphia roll,SS006,Sushi,Special Roll,,philadelphia roll,フィラデルフィアロール,フィラデルフィアロール,,,,,coming soon…,,no
94,alaskan roll,SS007,Sushi,Special Roll,,alaskan roll,アラスカンロール,アラスカンロール,,,,,coming soon…,,no
95,rainbow roll,SS008,Sushi,Special Roll,,rainbow roll,レインボーロール,レインボーロール,,,,,coming soon…,,no
96,crunchy roll,SS009,Sushi,Special Roll,,crunchy roll,クランチーロール,クランチーロール,,,,,coming soon…,,no
97,wasabi,OS001,Other,Side,,wasabi root,山葵,山葵,,,,,Paste from Japanese wasabi root.,OK,no
98,gari,OS002,Other,Side,,pickled ginger,ガリ,ガリ,,,,,coming soon…,OK,no
99,oshinko,OS003,Other,Side,,pickle daikon,お新香,お新香,,,,,coming soon…,OK,no
100,edamame,OS004,Other,Side,,pod soybean,枝豆,枝豆,,,,,coming soon…,OK,no
101,okura,OS005,Other,Side,,okra,オクラ,オクラ,,,,,coming soon…,OK,
102,miso shiru,OS006,Other,Side,,miso soup,味噌汁,味噌汁,,,,,coming soon…,OK,no
103,karaage,OS007,Other,Side,,fried chicken,唐揚げ,唐揚げ,,,,,coming soon…,OK,no
104,dashimaki tamago,OS008,Other,Side,,egg roll,だし巻き卵,だし巻き卵,,,,,coming soon…,OK,no
105,croquette,OS009,Other,Side,,croquette,コロッケ,コロッケ,,,,,coming soon…,OK,no
106,potato salad,OS010,Other,Side,,potato salad,ポテトサラダ,ポテトサラダ,,,,,coming soon…,OK,
107,chawan mushi,OS011,Other,Side,,steamed egg custard,茶碗蒸し,茶碗蒸し,,,,,coming soon…,OK,no
108,annin tofu,OD001,Other,Dessert,,jelly pudding,杏仁豆腐,杏仁豆腐,,,,,coming soon…,OK,no
109,mochi ice (vanilla),OD002,Other,Dessert,,rice cake w/vanilla ice cream,餅アイス（バニラ）,餅アイス（バニラ）,,,,,coming soon…,OK,no
110,mochi ice (strawberry),OD003,Other,Dessert,,rice cake w/straberry ice cream,餅アイス（イチゴ）,餅アイス（イチゴ）,,,,,coming soon…,OK,no
111,mochi ice (chocolate),OD004,Other,Dessert,,rice cake w/chocolate ice cream,餅アイス（チョコ）,餅アイス（チョコ）,,,,,coming soon…,OK,no
112,mochi ice (matcha),OD005,Other,Dessert,,rice cake w/green tea ice cream,餅アイス（抹茶）,餅アイス（抹茶）,,,,,coming soon…,OK,no
113,parfait (vanilla),OD006,Other,Dessert,,parfait w/vanilla ice cream,パフェ（バニラ）,パフェ（バニラ）,,,,,coming soon…,OK,no
114,parfait (strawberry),OD007,Other,Dessert,,parfait w/straberry ice cream,パフェ（イチゴ）,パフェ（イチゴ）,,,,,coming soon…,OK,
115,parfait (chocolate),OD008,Other,Dessert,,parfait w/chocolate ice cream,パフェ（チョコ）,パフェ（チョコ）,,,,,coming soon…,OK,
116,parfait (matcha),OD009,Other,Dessert,,parfait w/green tea ice cream,パフェ（抹茶）,パフェ（抹茶）,,,,,coming soon…,OK,
117,ice cream (vanilla with red beans),OD010,Other,Dessert,,vanilla ice cream w/red beans,バニラアイス,バニラアイス,,,,,coming soon…,OK,no
118,ice cream (matcha),OD011,Other,Dessert,,green tea ice cream,抹茶アイス,抹茶アイス,,,,,coming soon…,OK,no
119,cheese cake,OD012,Other,Dessert,,cheese cake,チーズケーキ,チーズケーキ,,,,,coming soon…,,no
120,chocolate cake,OD013,Other,Dessert,,chocolate cake,チョコレートケーキ,チョコレートケーキ,,,,,coming soon…,,no
121,purin,OD014,Other,Dessert,,caramel pudding,プリン,プリン,,,,,coming soon…,,no
122,fruits,OD015,Other,Dessert,,fruits,フルーツ,フルーツ,,,,,coming soon…,,no
123,kakigori (melon),OD016,Other,Dessert,,shaved ice (melon),カキ氷,カキ氷,,,,,coming soon…,,no
124,kakigori (ichigo),OD017,Other,Dessert,,shaved ice (strawberry),カキ氷,カキ氷,,,,,coming soon…,,no
125,kakigori (ramune),OD018,Other,Dessert,,shaved ice (ramune),カキ氷,カキ氷,,,,,coming soon…,,no
126,ocha,OI001,Other,Drinks,,tea,お茶,お茶,,,,,coming soon…,,no
